month,position,artist,song,score,us,uk,de,fr,ca,au
"Mar 2000","50","The Dixie Chicks","Cowboy Take Me Away","1317.562","37","-","-","-","-","-"
"Apr 2000","1","Destiny's Child","Say My Name","4065.651","1","3","-","14","-","2"
"Apr 2000","2","Santana & The Product G","Maria Maria","3946.514","1","-","-","92","1","-"
"Apr 2000","3","N Sync","Bye, Bye, Bye","3441.334","4","20","-","-","-","1"
"Apr 2000","4","Faith Hill","Breathe","3194.199","2","-","-","-","-","-"
"Apr 2000","5","Lonestar","Amazed","3053.323","4","23","-","-","-","36"
"Apr 2000","6","Sisqo","Thong Song","3019.423","4","3","-","-","-","-"
"Apr 2000","7","Montell Jordan","Get It On Tonite","2882.350","7","15","-","30","-","-"
"Apr 2000","8","Rob Thomas & Santana","Smooth","2867.452","8","3","-","22","-","44"
"Apr 2000","9","The Backstreet Boys","Show Me The Meaning Of Being Lonely","2708.521","6","28","-","-","-","23"
"Apr 2000","10","Macy Gray","I Try","2524.141","7","-","-","31","-","28"
"Apr 2000","11","Pink","There You Go","2413.933","7","-","-","-","-","19"
"Apr 2000","12","blink-182","All The Small Things","2384.466","16","6","-","-","-","8"
"Apr 2000","13","Sonique","It Feels So Good","2298.758","8","-","-","-","1","-"
"Apr 2000","14","Christina Aguilera","What A Girl Wants","2194.116","18","34","-","25","-","15"
"Apr 2000","15","Celine Dion","That's The Way It Is","2169.213","9","90","-","-","-","-"
"Apr 2000","16","Vertical Horizon","Everything You Want","2142.511","9","-","-","-","-","-"
"Apr 2000","17","Third Eye Blind","Never Let You Go","2120.000","14","-","-","-","1","-"
"Apr 2000","18","Savage Garden","I Knew I Loved You","2010.209","12","-","-","-","-","-"
"Apr 2000","19","Joe Thomas","I Wanna Know","1997.494","11","-","-","-","-","-"
"Apr 2000","20","Bloodhound Gang","The Bad Touch","1936.610","52","4","-","35","-","13"
"Apr 2000","21","Marc Anthony","You Sang To Me","1887.658","13","-","-","-","-","-"
"Apr 2000","22","Madonna","American Pie","1829.062","40","8","-","8","-","4"
"Apr 2000","23","Toni Braxton","He Wasn't Man Enough","1809.232","3","5","-","-","-","-"
"Apr 2000","24","Kid Rock","Only God Knows Why","1796.150","19","-","-","-","-","-"
"Apr 2000","25","The Dixie Chicks","Goodbye Earl","1788.172","20","-","-","-","-","-"
"Apr 2000","26","Blaque","Bring It All To Me","1784.315","19","-","-","-","-","-"
"Apr 2000","27","Marc Anthony","I Need To Know","1732.225","22","-","-","-","-","29"
"Apr 2000","28","Brian McKnight","Back At One","1728.207","21","-","-","-","-","42"
"Apr 2000","29","Aaliyah","Try Again","1711.238","16","-","-","-","-","-"
"Apr 2000","30","Dr Dre, Eminem & Skylar Grey","Forgot About Dre","1708.536","25","-","-","-","-","-"
"Apr 2000","31","Red Hot Chili Peppers","Otherside","1610.863","29","-","-","-","-","44"
"Apr 2000","32","Enrique Iglesias","Be With You","1589.708","17","-","-","-","-","44"
"Apr 2000","33","Sammie","I Like It","1571.951","24","-","-","-","-","-"
"Apr 2000","34","Creed","Higher","1556.855","23","-","-","-","-","-"
"Apr 2000","35","Toby Keith","How Do You Like Me Now?!","1522.859","31","-","-","-","-","-"
"Apr 2000","36","George Strait","The Best Day","1515.453","31","-","-","-","-","-"
"Apr 2000","37","DMX","Party Up (Up In Here)","1488.530","27","-","-","-","-","-"
"Apr 2000","38","Hoku","Another Dumb Blonde","1487.988","27","-","-","-","-","-"
"Apr 2000","39","Jennifer Lopez, Big Pun & Fat Joe","Feelin' So Good","1467.799","51","15","-","-","-","20"
"Apr 2000","40","Aaliyah","I Don't Wanna","1421.496","36","-","-","-","-","-"
"Apr 2000","41","Mariah Carey","Thank God I Found You","1405.871","43","40","-","37","-","47"
"Apr 2000","42","Carl Thomas","I Wish","1334.707","28","-","-","-","-","-"
"Apr 2000","43","Martina McBride","Love s The Only House","1326.991","42","-","-","-","-","-"
"Apr 2000","44","Whitney Houston","I Learned From The Best","1320.695","28","-","-","60","-","-"
"Apr 2000","45","Tracy Lawrence","Lessons Learned","1317.077","40","-","-","-","-","-"
"Apr 2000","46","Britney Spears","From The Bottom Of My Broken Heart","1312.661","35","-","-","-","-","-"
"Apr 2000","47","Smash Mouth","Then The Morning Comes","1308.214","33","-","-","-","-","-"
"Apr 2000","48","Black Rob","Whoa!","1291.241","43","-","-","-","-","-"
"Apr 2000","49","Clint Black & Steve Wariner","Been There","1284.789","44","-","-","-","-","-"
"Apr 2000","50","D Angelo","Untitled (How Does It Feel)","1242.964","39","-","-","-","-","-"
"May 2000","1","Santana & The Product G","Maria Maria","4254.541","1","-","-","38","-","-"
"May 2000","2","Toni Braxton","He Wasn't Man Enough","4044.679","2","8","-","74","-","6"
"May 2000","3","Sisqo","Thong Song","3681.567","3","5","-","-","-","40"
"May 2000","4","Destiny's Child","Say My Name","3564.486","5","20","-","10","-","1"
