,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
157,"listen before i go","Billie Eilish",712149,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
158,FANCY,TWICE,709530,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
159,"I Fall Apart","Post Malone",709013,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
160,Juice,Lizzo,706371,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
161,i,"Lil Skies",702811,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
162,Photograph,"Ed Sheeran",701023,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
163,Rebota,Guaynaa,699196,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
164,"Get You The Moon (feat. Snøw)",Kina,697526,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
165,Swing,"Danny Ocean",695668,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
166,Congratulations,"Post Malone",694784,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
167,"Clout (feat. Cardi B)",Offset,693712,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
168,Natural,"Imagine Dragons",692130,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
169,Adictiva,"Daddy Yankee",684361,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
170,"This Feeling","The Chainsmokers",680952,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
171,"Just You and I","Tom Walker",680502,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
172,"In My Feelings",Drake,676056,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
173,"Havana (feat. Young Thug)","Camila Cabello",675871,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
174,Closer,"The Chainsmokers",674039,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
175,"Beautiful (feat. Camila Cabello)",Bazzi,672968,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
176,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",662079,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
