"","year","song","artist","speechiness","energy","danceability","acousticness"
"152","2005","Stickwitu","The Pussycat Dolls",0.052,0.551,0.652,0.289
"153","2006","Don't Forget About Us","Mariah Carey",0.0395,0.529,0.7,0.0422
"154","2006","Hung Up","Madonna",0.0452,0.647,0.649,0.0039
"155","2006","Stickwitu","The Pussycat Dolls",0.052,0.551,0.652,0.289
"156","2006","My Humps","The Black Eyed Peas",0.223,0.688,0.8,0.12
"157","2006","Run It","Chris Brown & Juelz Santana",0.129,0.482,0.846,0.0246
"158","2006","Grillz","Nelly & Paul Wall, Ali & Gipp",0.266,0.515,0.862,0.0406
"159","2006","Check On It","Beyonce & Slim Thug",0.369,0.884,0.519,0.00294
"160","2006","Temperature","Sean Paul",0.0685,0.6,0.951,0.106
"161","2006","You're Beautiful","James Blunt",0.0278,0.479,0.675,0.633
"162","2006","Be Without You","Mary J Blige",0.135,0.689,0.724,0.083
"163","2006","So Sick","Ne-Yo",0.262,0.592,0.699,0.273
"164","2006","Bad Day","Daniel Powter",0.0309,0.785,0.599,0.448
"165","2006","SOS","Rihanna",0.0715,0.645,0.802,0.272
"166","2006","Dani California","Red Hot Chili Peppers",0.0409,0.865,0.553,0.017
"167","2006","Hips Don't Lie","Shakira & Wyclef Jean",0.0712,0.824,0.778,0.284
"168","2006","Ridin'","Chamillionaire & Krayzie Bone",0.0448,0.817,0.547,0.0986
"169","2006","Crazy","Gnarls Barkley",0.0262,0.402,0.552,0.676
"170","2006","Promiscuous","Nelly Furtado & Timbaland",0.0476,0.977,0.813,0.05
"171","2006","Ain't No Other Man","Christina Aguilera",0.222,0.742,0.862,0.00376
"172","2006","Buttons","The Pussycat Dolls & Snoop Dogg",0.32,0.823,0.544,0.158
"173","2006","Me & U","Cassie",0.125,0.568,0.776,0.0204
"174","2006","Unfaithful","Rihanna",0.0334,0.391,0.588,0.839
"175","2006","SexyBack","Justin Timberlake",0.0789,0.583,0.967,0.0584
"176","2006","London Bridge","Fergie",0.381,0.63,0.748,0.214
"177","2006","Money Maker","Ludacris & Pharrell Williams",0.252,0.613,0.571,0.177
"178","2006","Call Me When You're Sober","Evanescence",0.0524,0.883,0.45,0.00193
"179","2006","Chasing Cars","Snow Patrol",0.0276,0.592,0.563,0.209
"180","2006","Smack That","Akon",0.0478,0.738,0.937,0.292
"181","2006","My Love","Justin Timberlake & T.I.",0.121,0.347,0.743,0.167
"182","2006","Irreplaceable","Beyonce",0.382,0.694,0.447,0.0293
"183","2006","I Wanna Love You","Akon & Snoop Dogg",0.0423,0.46,0.866,0.0442
"184","2007","Irreplaceable","Beyonce",0.382,0.694,0.447,0.0293
"185","2007","Smack That","Akon",0.0478,0.738,0.937,0.292
"186","2007","My Love","Justin Timberlake & T.I.",0.121,0.347,0.743,0.167
"187","2007","I Wanna Love You","Akon & Snoop Dogg",0.0423,0.46,0.866,0.0442
"188","2007","This Ain't A Scene, It's An Arms Race","Fall Out Boy",0.0396,0.888,0.601,0.000623
"189","2007","The Sweet Escape","Gwen Stefani & Akon",0.0356,0.765,0.755,0.218
"190","2007","What Goes Around Comes Around","Justin Timberlake",0.176,0.723,0.685,0.131
"191","2007","Say It Right","Nelly Furtado",0.13,0.873,0.871,0.0488
"192","2007","Girlfriend","Avril Lavigne",0.0917,0.554,0.726,0.0421
"193","2007","Glamorous","Fergie & Ludacris",0.211,0.748,0.81,0.32
"194","2007","Don't Matter","Akon",0.0414,0.457,0.79,0.24
"195","2007","Give It To Me","Timbaland & Nelly Furtado & Justin Timberlake",0.042,0.746,0.705,0.127
"196","2007","Beautiful Liar","Beyonce & Shakira",0.0703,0.751,0.764,0.00554
"197","2007","Umbrella","Rihanna & Jay-Z",0.134,0.829,0.583,0.00864
"198","2007","Makes Me Wonder","Maroon 5",0.0357,0.867,0.806,0.00546
"199","2007","Big Girls Don't Cry (Personal)","Fergie",0.0336,0.647,0.712,0.239
"200","2007","The Way I Are","Timbaland & Keri Hilson",0.106,0.808,0.734,0.189
"201","2007","Hey There Delilah","Plain White T's",0.0293,0.291,0.657,0.872
"202","2007","Stronger","Kanye West",0.153,0.717,0.617,0.00564
"203","2007","Beautiful Girls","Sean Kingston",0.0687,0.661,0.762,0.15
"204","2007","Ayo Technology","50 Cent & Justin Timberlake & Timbaland",0.198,0.774,0.442,0.0943
"205","2007","Crank That (Soulja Boy)","Soulja Boy",0.101,0.724,0.732,0.511
"206","2007","Apologize","Timbaland & OneRepublic",0.0368,0.718,0.591,0.348
"207","2007","No One","Alicia Keys",0.0286,0.548,0.644,0.0209
"208","2007","Kiss Kiss","Chris Brown & T-Pain",0.11,0.862,0.791,0.037
"209","2007","Gimme More","Britney Spears",0.0334,0.844,0.788,0.25
"210","2008","Apologize","Timbaland & OneRepublic",0.0368,0.718,0.591,0.348
"211","2008","No One","Alicia Keys",0.0286,0.548,0.644,0.0209
"212","2008","Don't Stop The Music","Rihanna",0.0643,0.669,0.835,0.0336
"213","2008","Low","Flo-Rida & T-Pain",0.166,0.569,0.584,0.0508
"214","2008","With You","Chris Brown",0.0447,0.835,0.51,0.00791
"215","2008","Bleeding Love","Leona Lewis",0.0357,0.656,0.638,0.188
"216","2008","Touch My Body","Mariah Carey",0.0539,0.666,0.716,0.129
"217","2008","Four Minutes","Madonna & Justin Timberlake",0.195,0.8,0.628,0.000944
"218","2008","Love In This Club","Usher & Young Jeezy",0.0732,0.712,0.573,0.0572
"219","2008","Take A Bow","Rihanna",0.0715,0.467,0.697,0.248
"220","2008","Mercy","Duffy",0.324,0.385,0.772,0.0309
"221","2008","Lollipop","Lil' Wayne",0.199,0.433,0.828,0.0656
"222","2008","I Kissed A Girl","Katy Perry",0.0677,0.76,0.699,0.00223
"223","2008","Viva la vida","Coldplay",0.0289,0.619,0.485,0.0941
"224","2008","All Summer Long","Kid Rock",0.0283,0.864,0.7,0.0212
"225","2008","Closer","Ne-Yo",0.0338,0.524,0.748,0.414
"226","2008","Forever","Chris Brown",0.277,0.92,0.544,0.244
"227","2008","Disturbia","Rihanna",0.0571,0.813,0.707,0.0863
"228","2008","So What","Pink",0.045,0.886,0.535,0.000304
"229","2008","Whatever You Like","T.I.",0.0709,0.687,0.68,0.0161
"230","2008","Live Your Life","T.I. & Rihanna",0.255,0.862,0.375,0.071
"231","2008","If I Were A Boy","Beyonce",0.0313,0.518,0.632,0.107
"232","2008","Hot 'n' cold","Katy Perry",0.0418,0.841,0.706,7.95e-05
"233","2008","Womanizer","Britney Spears",0.0622,0.695,0.724,0.073
"234","2009","Hot 'n' cold","Katy Perry",0.0418,0.841,0.706,7.95e-05
"235","2009","Just Dance","Lady GaGa & Colby O'Donis",0.0314,0.737,0.822,0.0261
"236","2009","If I Were A Boy","Beyonce",0.0313,0.518,0.632,0.107
